threshold,oof_precision,oof_recall,oof_f1,oof_specificity,hard_precision,hard_recall,hard_f1,hard_specificity,hard_accuracy
0.105,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.11,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.115,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.12,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.125,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.13,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.135,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.14,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.145,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.15,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.155,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.16,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.165,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.17,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.17500000000000002,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.18,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.185,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.19,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.195,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.2,0.43703703703703706,0.9915966386554622,0.6066838046272494,0.3059360730593607,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.20500000000000002,0.44150943396226416,0.9831932773109243,0.609375,0.3242009132420091,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.21,0.44150943396226416,0.9831932773109243,0.609375,0.3242009132420091,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.211538,0.44150943396226416,0.9831932773109243,0.609375,0.3242009132420091,0.5476190476190477,0.92,0.6865671641791046,0.24,0.58
0.215,0.49765258215962443,0.8907563025210085,0.6385542168674699,0.5114155251141552,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.22,0.49765258215962443,0.8907563025210085,0.6385542168674699,0.5114155251141552,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.225,0.49765258215962443,0.8907563025210085,0.6385542168674699,0.5114155251141552,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.23,0.49765258215962443,0.8907563025210085,0.6385542168674699,0.5114155251141552,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.23500000000000001,0.49765258215962443,0.8907563025210085,0.6385542168674699,0.5114155251141552,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.24,0.49765258215962443,0.8907563025210085,0.6385542168674699,0.5114155251141552,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.245,0.49765258215962443,0.8907563025210085,0.6385542168674699,0.5114155251141552,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.25,0.49765258215962443,0.8907563025210085,0.6385542168674699,0.5114155251141552,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.255,0.49765258215962443,0.8907563025210085,0.6385542168674699,0.5114155251141552,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.26,0.49765258215962443,0.8907563025210085,0.6385542168674699,0.5114155251141552,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.265,0.49765258215962443,0.8907563025210085,0.6385542168674699,0.5114155251141552,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.27,0.49765258215962443,0.8907563025210085,0.6385542168674699,0.5114155251141552,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.275,0.49765258215962443,0.8907563025210085,0.6385542168674699,0.5114155251141552,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
