lon,lat,p_raw,p_raw_std,p_calibrated,pred_label,priority
79.72807160318324,9.570929602549525,0.16833901,0.0,0.0,0,low
79.72807160318324,9.579912755390716,0.30003318,0.0,0.0,0,low
79.71908845034204,9.579912755390716,0.13448443,0.0,0.0,0,low
79.71010529750085,9.579912755390716,0.046940666,0.0,0.0,0,low
79.70112214465965,9.579912755390716,0.05258893,0.0,0.0,0,low
79.69213899181845,9.579912755390716,0.11361874,0.0,0.0,0,low
79.72807160318324,9.436182309931594,0.27856037,0.0,0.0,0,low
78.96450361168164,9.265502405948885,0.39598748,0.0,0.0,0,low
78.95552045884044,9.265502405948885,0.055952087,0.0,0.0,0,low
79.33281287817064,9.337367628678448,0.361131,0.0,0.0,0,low
79.72807160318324,9.588895908231914,0.21055435,0.0,0.0,0,low
79.71908845034204,9.588895908231914,0.05631946,0.0,0.0,0,low
79.70112214465965,9.588895908231914,0.0857664,0.0,0.0,0,low
79.69213899181845,9.588895908231914,0.04583298,0.0,0.0,0,low
79.68315583897726,9.588895908231914,0.054775897,0.0,0.0,0,low
78.98246991736403,9.597879061073108,0.009718641,0.0,0.0,0,low
78.99145307020522,9.606862213914305,0.011436653,0.0,0.0,0,low
78.98246991736403,9.606862213914305,0.01183437,0.0,0.0,0,low
79.00043622304642,9.6158453667555,0.011050962,0.0,0.0,0,low
78.98246991736403,9.63381167243789,0.011111518,0.0,0.0,0,low
79.00941937588762,9.642794825279084,0.012045588,0.0,0.0,0,low
79.00043622304642,9.642794825279084,0.01481175,0.0,0.0,0,low
78.99145307020522,9.642794825279084,0.018532248,0.0,0.0,0,low
78.98246991736403,9.25651925310769,0.23284556,0.0,0.0,0,low
78.97348676452283,9.25651925310769,0.33707178,0.0,0.0,0,low
78.96450361168164,9.25651925310769,0.16620438,0.0,0.0,0,low
78.95552045884044,9.25651925310769,0.03633233,0.0,0.0,0,low
78.94653730599924,9.25651925310769,0.032509185,0.0,0.0,0,low
79.33281287817064,9.265502405948885,0.23464741,0.0,0.0,0,low
78.92857100031686,9.247536100266496,0.01701303,0.0,0.0,0,low
78.91958784747567,9.247536100266496,0.0898307,0.0,0.0,0,low
78.91060469463447,9.247536100266496,0.11982854,0.0,0.0,0,low
79.34179603101184,9.25651925310769,0.22776647,0.0,0.0,0,low
79.00043622304642,9.624828519596694,0.008871137,0.0,0.0,0,low
78.99145307020522,9.624828519596694,0.0084105795,0.0,0.0,0,low
78.98246991736403,9.624828519596694,0.009616857,0.0,0.0,0,low
79.7999368259128,9.63381167243789,0.40032688,0.0,0.0,0,low
79.7909536730716,9.63381167243789,0.42788777,0.0,0.0,0,low
79.00941937588762,9.63381167243789,0.0075392914,0.0,0.0,0,low
79.00043622304642,9.63381167243789,0.010722434,0.0,0.0,0,low
78.99145307020522,9.63381167243789,0.009341922,0.0,0.0,0,low
79.10823405714076,9.247536100266496,0.3724751,0.0,0.0,0,low
79.09026775145837,9.247536100266496,0.18285692,0.0,0.0,0,low
79.02738568157001,9.247536100266496,0.12688333,0.0,0.0,0,low
79.01840252872881,9.247536100266496,0.025840681,0.0,0.0,0,low
79.00941937588762,9.247536100266496,0.034421623,0.0,0.0,0,low
79.00043622304642,9.247536100266496,0.09567071,0.0,0.0,0,low
78.99145307020522,9.247536100266496,0.050152212,0.0,0.0,0,low
78.98246991736403,9.247536100266496,0.032052908,0.0,0.0,0,low
78.97348676452283,9.247536100266496,0.08191147,0.0,0.0,0,low
78.96450361168164,9.247536100266496,0.074409224,0.0,0.0,0,low
78.95552045884044,9.247536100266496,0.013132903,0.0,0.0,0,low
78.94653730599924,9.247536100266496,0.00802478,0.0,0.0,0,low
78.93755415315805,9.247536100266496,0.016898975,0.0,0.0,0,low
78.95552045884044,9.2385529474253,0.009699472,0.0,0.0,0,low
78.94653730599924,9.2385529474253,0.006794561,0.0,0.0,0,low
